Title,description,authors,publishedDate,categories,pages_count,price,shop_id,stock
Mel Bay Beginning Fiddle Solos,"Beginning with a section of easy arrangements of popular Cajun tunes, this book progresses to more difficult solos based on the playing of various fiddlers includingDewey Balfa, Michael Doucet, Doug Kershaw, and Rufus Thibodeaux. Cajun stylings, rhythms, double stops, slides, turns and trills, bowings, and tunings are discussed throughout the book. Fiddle and guitar are used in demonstrating the tunes in this book. Comes with access to online audio including recorded versions of most of the pieces in the book. The recorded versions are played at a slower tempo than typical performance speed to allow the listener to pick out details of the Cajun style",CRAIG DUNCAN,2015-07-24,Music,178,137.7,mega_market,False
Blessings and Promises Through the Eyes of Women of the Bible,"Adapted from the bestselling ""Women of the Bible"" trade book, these 26 stories encourage modern readers as they see the examples of biblical women who trusted God.","Ann Spangler, Jean Syswerda",2002-03,Religion,272,56.8,mega_market,True
Talks with Sri Ramana Maharshi,"First published in the year 1955 this book became so popular that it had to be reprinted ten times. People from all walks of life and of all faiths used to visit Sri Ramana Maharshi and ask questions covering every aspect of the spiritual search and every problem troubling the human mind.Maharshis answers gently led the questioner to the correct solution,each question answered according to the questioner's own level of spiritual developnent.People used to get their doubts dispelled their hearts suffused with peace and their beings uplifted in his presence.This book is a truthful chronicele of such happenings.","Nesma Books India, Sri Munagala Venkataramiah",2000-12-01,"Body, Mind & Spirit",172,38.28,mega_market,True
Compelling Evidence,"In a riveting courtroom drama, Talia Potter, indicted for the murder of her judge husband, turns to her lover, Paul Madriani--her husband's ex-law partner--to defend her. 75,000 first printing.",Steve Martini,1992,Fiction,311,70.04,mega_market,True
Losing Battles,"Three generations of Granny Vaughn's descendants gather at her Mississippi home to celebrate her 90th birthday. Possessed of the true storyteller's gift, the members of this clan cannot resist the temptation to swap tales.",Eudora Welty,2011-07-20,Fiction,177,63.73,mega_market,True
Black spring,"In the grim Northern Plateau, where vendetta holds sway and wizards enforce the code of blood and vengeance, corruption of minds and of nature go hand in hand. Lina has witch's powers but they cannot guard her against the enigmatic, brooding force of Damek, with whom she is besotted.",Alison Croggon,2013-01-01,Fantasy fiction,255,141.33,mega_market,False
"The Marshall Islands 1944: ""Operation Flintlock, the capture of Kwajalein and Eniwetok"" (Campaign)","Following the capture of Tarawa in November 1943 during World War II (1939-1945), American eyes turned to the Marshall Islands. These were the next vital stepping-stone across the Pacific towards Japan, and would bring the islands of Guam and Saipan within the reach of US forces. In their first amphibious attack, the new 4th Marine Division landed on Roi and Namur islands on 1 February 1944, while US 7th Division landed on Kwajalein. At the time this was the longest shore-to-shore amphibious assault in history. The lessons of the bloody fighting on Tarawa had been well learned and the successful attack on the Marshalls set the pattern for future amphibious operations in the Pacific War.",Gordon L. Rottman,2004-10-22,History,189,138.46,mega_market,False
The Land Of Long Ago [FACSIMILE],"Historical Information Science is an extensive review and bibliographic essay, backed by almost 6,000 citations, detailing developments in information technology since the advent of personal computers and the convergence of several social science and humanities disciplines in historical computing. Its focus is on the access, preservation, and analysis of historical information (primarily in electronic form) and the relationships between new methodology and instructional media, techniques, and research trends in library special collections, digital libraries, data archives, and museums.",Lawrence J. McCrank,2001,Computers,400,69.94,mega_market,True
Passenger Liners,"At the beginning of the last century it was possible to sail from London to Glasgow via the south coast ports and Belfast, returning along the east coast from either Dundee or Leith for as little as five pounds. Those were the days when 300 passengers were landed twice weekly at Grangemouth or Dundee from the London boat, and the coastal passenger and cargo liner was in its heyday, catering both for the first class tourist as well as offering keenly priced second class fares for the like of football fans following away matches. Sadly, these wonderful steamer services are now largely forgotten but this new book will stir fond memories of the ships and their coastal voyages. The Depression of the 1930s, coupled with competition from both railway and the motor coach, were to spell the end for many of the coastal liners, while heavy losses incurred in World War II left only a few ships each offering just a handful of passenger berths. ?The story of their one hundred years of service is accompanied by numerous fascinating anecdotes, and the book focuses as much on the social need for coastal passenger services, the men and women who provided the services and the passengers who used them, as it does on the nuts and bolts of the ships themselves. This beautifully presented book will delight both ship enthusiasts and all those who enjoy the maritime and social history of the British Isles.",Nick Robins,2011-09-12,Transportation,234,67.75,mega_market,True
The Secret Life of Ceecee Wilkes,"“Full of surprises and captivating plot twists all the way until the very last page.” —Examiner An unsolved murder. A missing child. A lifetime of deception. Twenty years after pregnant Genevieve Russell disappeared, her remains are discovered and Timothy Gleason is charged with murder. But there is no sign of the unborn child. CeeCee Wilkes knows how Genevieve Russell died, because she was there. And she knows what happened to her missing infant, because two decades ago she made the devastating choice to raise the baby as her own. Now Timothy Gleason is facing the death penalty, and she has another choice to make. Tell the truth and destroy her family. Or let an innocent man die in order to protect a lifetime of lies.",Diane Chamberlain,2021-04-27,Fiction,272,72.3,mega_market,False
Tolkien and the Critics,"Fifteen critical essays analyze the quality, sources, and influence of Tolkien's trilogy.","Neil D. Isaacs, Rose A. Zimbardo",1968,"Fantasy fiction, English",225,112.33,mega_market,True
Sometimes Madness Is Wisdom: Zelda and Scott Fitzgerald: A Marriage,"Drawn from previously undisclosed information, a fascinating new perspective into the tumultuous marriage of Scott and Zelda Fitzgerald, prominent figures of the literary and theatrical worlds, details their complex relationship, which eventually resulted in his becoming an incurable alcoholic and her descent into madness. Reader's Guide included. Reprint.",Kendall Taylor,2003,Biography & Autobiography,284,87.01,mega_market,True
Why?,"The inspirational bestseller that ignited a movement and asked us to find our WHY Discover the book that is captivating millions on TikTok and that served as the basis for one of the most popular TED Talks of all time—with more than 56 million views and counting. Over a decade ago, Simon Sinek started a movement that inspired millions to demand purpose at work, to ask what was the WHY of their organization. Since then, millions have been touched by the power of his ideas, and these ideas remain as relevant and timely as ever. START WITH WHY asks (and answers) the questions: why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their success over and over? People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers had little in common, but they all started with WHY. They realized that people won't truly buy into a product, service, movement, or idea until they understand the WHY behind it. START WITH WHY shows that the leaders who have had the greatest influence in the world all think, act and communicate the same way—and it's the opposite of what everyone else does. Sinek calls this powerful idea The Golden Circle, and it provides a framework upon which organizations can be built, movements can be led, and people can be inspired. And it all starts with WHY.",Simon Sinek,2011-12-27,Business & Economics,191,50.31,mega_market,True
Vaclav Havel: Civic Responsibility in the Postmodern Age (20th Century Political Thinkers),"More than any other public figure, VOclav Havel has reflected on the opportunities and dilemmas facing humankind as a result of the collapse of Communism. In VOclav Havel: Civic Responsibility in the Postmodern Age, James F. Pontuso argues that Havel's life as a dissident and political leader, his political philosophy, and his plays must be understood as connected to one another. Pontuso skillfully explores these connections and explains Havel's prescriptions for political life.","James F. Pontuso, Charles Patterson Professor of Government & Foreign Affairs James F Pontuso",2004,Biography & Autobiography,313,117.62,mega_market,True
The Tree Bride : A Novel,"Struggling to reconcile with her estranged husband, Tara Chatterjee relates the story of an East Bengali ancestor who married a tree at the age of five and who grew up to be a nationalist freedom fighter against the British Raj.",Bharati Mukherjee,2004-08-04,Fiction,209,136.54,mega_market,False
The Ultimate Guide to Deer Hunting,"An essential guide to tactics for trail watching, stillhunting, and driving whitetails.",David Richey,2001-07-01,Sports & Recreation,396,110.49,mega_market,False
Daniel's Ride,Trolley takes Daniel Tiger and his friends around the Neighborhood of Make-Believe.,Maggie Testa,2014-01-07,Juvenile Fiction,288,37.25,mega_market,True
The magic barrel & other stories (Kenkyusha pocket English series),"A winner of the 1959 National Book Award for Fiction, the late author's first book of thirteen short stories captures the experiences of Jewish immigrants in Italy and New York. By the author of The Natural. Reprint.",Bernard Malamud,2003,Fiction,374,120.85,mega_market,True
The Dodgers Move West,"Stressing the vital role of city politicians on both coasts, this book provides insights into the Brooklyn Dodgers' move to Los Angeles in 1958 and reveals the relationship between sports franchises and public funding",Neil Sullivan,1989-06-08,Sports & Recreation,183,148.45,mega_market,True
Novell's Guide to NetWare 5 and TCP/IP,"Enhance TCP/IP communications in a NetWare 5 environment without reducing bandwidth or performance. Novell's Guide to NetWare 5 and TCP/IP supplies you with the detailed instruction, real-world examples, and expert insight to get the job done right the first time. This essential guide to NetWare 5 communications features complete coverage of the following: implementing a Pure IP network, configuring TCP/IP on different NetWare clients, managing DNS services, optimizing SNMP agents, configuring options for DHCP, migrating from IPX to Pure IP, setting up an FTP server, and much more.",Drew Heywood,1999-03-31,Computers,239,105.92,mega_market,True
"Rocks, Gems and Minerals: Revised and Updated (Golden Guide from St. Martin's Press)","Includes information on collecting and identifying minerals, and sections on metallic, nonmetallic, gem and rock-forming minerals, and on igneous, sedimentary and metamorphic rocks.","Herbert S. Zim, Paul R. Shaffer",2001-04-14,Nature,893,44.14,mega_market,True
Riders of Leviathan,"Marooned on the exotic alien world of Typhon, Dilani and her fellow human colonists have had their own DNA altered by a strange and capricious godlike entity and find themselves stalked across the face of the planet by vicious Bone Killers out to annihilate the colonists. Original.",Toni Anzetti,2001,Fiction,290,10.78,mega_market,True
Juvenile Gangs,"In the quarter century since the first edition of this book, scholarship on gangs in general, and especially youth gangs, has grown exponentially. This massive expansion of the literature on youth gangs, especially in the past decade, warranted this expanded and updated fourth edition. The first chapter has an expanded discussion of definitional issues, plus recent data from the National Youth Gang Survey, material on the evolving economic nature of gangs, and gang use of internet and social media. The second chapter continues by examining gang violence and drug involvement, and the extent to which they are intercorrelated, with new material on victimization of gang members and gang involvement in drug use and sales. Chapter 3 focuses on racial and ethnic decadences in gangs and the important role of race and ethnicity on gang membership and gang behavior in the U.S. The fourth chapter examines female gangs and gang membership and the changes that have taken place in the nature and extent of female gang membership over time. The fifth and sixth chapters place contemporary American gangs in the historical and international perspective. Chapter 5 includes a new section on youth gangs in the new millennium, and Chapter 6 has been reorganized, particularly to reflect the burgeoning research on European and other international gangs since the turn of the millennium. Chapter 7 has been expanded to include recent developments in the actual and potential application of biosocial, psychological, and life course developmental theories to gangs. Chapter 8 provides a comprehensive, multilevel theory of gangs with updates including new propositions, and new evidence for both the new and old propositions, based on more recent work in theory development and theory testing for gangs. The ninth and tenth chapters’ revisions focus on legislative and justice system efforts to deter gang crime and membership. Chapter 10 also focuses on intervention and assistance programs outside the justice system, including discussion of the Gang Resistance Education and Training program. The final chapter concludes by considering the future of youth gangs in the U.S. and elsewhere in light of historical and cross-national evidence, theory, and experience with gang interventions and programs, considering more recent developments in those areas, and whether they justify any change and for what would be expected of the future of youth gangs.","Robert J. Franzese, Herbert C. Covey, Scott Menard",2016-04-11,Gangs,339,63.96,mega_market,True
Gold Cord,"Appalled by the hideous traffic in child prostitution at Hindu temples, Amy founded Dohnavur Fellowship to give them a safe home and introduce them to the love of Christ. This book tells the whole story.",Amy Carmichael,1932,Missions,147,75.84,mega_market,True
Paper in Harmony,"Create an entire orchestra through the art of origami. Over 1,000 illustrations will guide you in folding these works of art for yourself. This is geared towards the advanced origami folder. There are also chapters to aid you with paper choice and preparation. Each model is prefaced with folding tips and some insight into the creative process.",Marc Kirschenbaum,2019-08-07,Crafts & Hobbies,315,137.35,mega_market,True
Planet Janet In Orbit,"Having taken a break from the ""Dark Phase"" of her life, Janet records in her diary the trials and tribulations that occur as she finds a summer job, witnesses the changes in her mother and best friend as they fall in love, and approaches her own seventeen",Dyan Sheldon,2005,Juvenile Fiction,282,96.76,mega_market,True
The Soul of a Lion: The Life of Dietrich Von Hildebrand,"Dietrich von Hildebrand, widely regarded as one of the great Catholic philosophers of the 20th century, is well-known for his numerous books, but, until this present work, not much has been known of his remarkable and inspiring life. Written by his wife, Alice, also a highly respected Catholic thinker, this is a fascinating, moving and, at times, gripping account of a truly great man of the Church who suffered much for the faith. Based on a very long ""letter"" Dietrich wrote to his wife late in his life, it tells his story from his glorious youth with a unique intellectual and cultural formation, his coversion to Catholisism, his great passion for truth and beauty, his extensive writing on Christian philosophy and theology, and his steadfast, determined opposition to Nazism that made him a marked man who miraculously escaped execution. A powerful biography of a relentless fighter against injustice, a devoted son of the Church, a man who had the ""soul of a lion"". Illustrated.",Alice Von Hildebrand,2000,Biography & Autobiography,399,49.43,mega_market,False
Myths and Monsters,"Contains information about the monsters found in movies, mythology, and the imagination, from dragons and sea monsters to fairies and witches.","Laura Buller, Philip Wilkinson",2003,Juvenile Nonfiction,339,106.84,mega_market,True
Cpt 2000: Current Procedural Terminology,"The annual CPT Standard Edition provides convenient access to a listing of descriptive terms and identifying codes for reporting medical services and procedures performed by physicians and other health care providers. CPT codes provide an effective means for reliable nationwide communication among physicians, patients and third party payers.",American Medical Association,1999,Medicine,238,22.91,mega_market,True
109 East Palace : Robert Oppenheimer and the Secret City of Los Alamos,"From the bestselling author of Tuxedo Park, the fascinating story of the 3,000 people who lived together in near confinement for more than two intense and conflicted years under J. Robert Oppenheimer and the world's best scientists to produce the Atomic Bomb and win World War II. They were told as little as possible. Their orders were to go to Santa Fe, New Mexico, and report for work at a classified Manhattan Project site, a location so covert it was known to them only by the mysterious address: 109 East Palace. There, behind a wrought-iron gate and narrow passageway just off the touristy old plaza, they were greeted by Dorothy McKibbin, an attractive widow who was the least likely person imaginable to run a front for a clandestine defense laboratory. They stepped across her threshold into a parallel universe--the desert hideaway where Robert Oppenheimer and a team of world-famous scientists raced to build the first atomic bomb before Germany and bring World War II to an end. Brilliant, handsome, extraordinarily charismatic, Oppenheimer based his unprecedented scientific enterprise in the high reaches of the Sangre de Cristo mountains, hoping that the land of enchantment would conceal and inspire their bold mission. Oppenheimer was as arrogant as he was inexperienced, and few believed the thirty-eight-year-old theoretical physicist would succeed. Jennet Conant captures all the exhilaration and drama of those perilous twenty-seven months at Los Alamos, a secret city cut off from the rest of society, ringed by barbed wire, where Oppenheimer and his young recruits lived as virtual prisoners of the U.S. government. With her dry humor and eye for detail, Conant chronicles the chaotic beginnings of Oppenheimer's by-the-seat-of-his-pants operation, where freshly minted secretaries and worldly scientists had to contend with living conditions straight out of pioneer days. Despite all the obstacles, Oppie managed to forge a vibrant community at Los Alamos through the sheer force of his personality. Dorothy, who fell for him at first sight, devoted herself to taking care of him and his crew and supported him through the terrifying preparations for the test explosion at Trinity and the harrowing aftermath of Hiroshima and Nagasaki. Less than a decade later, Oppenheimer became the focus of suspicion during the McCarthy witch hunts. When he and James B. Conant, one of the top administrators of the Manhattan Project (and the author's grandfather), led the campaign against the hydrogen bomb, Oppenheimer's past left-wing sympathies were used against him, and he was found to be a security risk and stripped of his clearance. Though Dorothy tried to help clear his name, she saw the man she loved disgraced. In this riveting and deeply moving account, drawing on a wealth of research and interviews with close family and colleagues, Jennet Conant reveals an exceptionally gifted and enigmatic man who served his country at tremendous personal cost and whose singular achievement, and subsequent undoing, is at the root of our present nuclear predicament.",Jennet Conant,2007-11-01,History,149,39.88,mega_market,True
Your Dog is Watching You: A writer finds out about dog psychology the hard way,"The author was walking his little dog on a leash when it was attacked by a loose German Shepherd. How could he protect his dog if it happened again? He tried this, he tried that. Things only got worse. The answer came from a lucky contact with a dog psychologist. Her solution may make you laugh. But it worked. And the author learned more than just how to protect his dog. He finally learned what dogs are about. Includes a rare interview with a top dog-psychologist and trainer. Find out the easy way to prevent dog fights, how to stop your dog yanking on the leash, how to get your dog to understand what stop barking means, and why certain kinds of dog training never work.",Jim Heath,2005,Pets,283,114.23,mega_market,False
Little murders,The Newquists try to prevent the problems of life in New York City from interfering with their daughter's wedding,Jules Feiffer,1968,Fiction,276,51.61,mega_market,True
Geometry of Vector Fields,"Presenting a classical approach to the foundations and development of the geometry of vector fields, this volume space, three orthogonal systems, and applications in mechanics. Other topics, including vector fields, Pfaff forms and systems in n-dimensional space, foliations and Godbillon-Vey invariant, are also considered. There is much interest in the study of geometrical objects in n-dimensional Euclidean space, and this volume provides a useful and comprehensive presentation.",Yu. Aminov,2000-02-23,Mathematics,361,14.36,mega_market,False
"HarperCollins Sansoni Italian Unabridged Dictionary, Second Edition","The HarperCollins Sansoni is simply the best Italian dictionary you can buy. Here's why: More than 900,000 entries and translations. The HarperCollins Sansoni goes with you into the twenty-first century. With complete coverage of contemporary terms in business, technology, politics, culture, and medicine, the HarperCollins Sansoni is the most authoritative single-volume Italian–English dictionary available. More in-depth. The HarperCollins Sansoni is a significant advance in Italian-English dictionary making. Produced by one of the leading dictionary publishers in Italy, this dictionary demonstrates usage, idioms, and grammatical constructions in thousands of examples, enhancing your ability to make accurate translations. More colloquial usage than any other Italian dictionary. With its emphasis on the language as it is used today, and full treatment of irregular forms of verbs, nouns, and adjectives, the HarperCollins Sansoni is the best book for translation and finding the right word.",HarperCollins Publishers,2005-04-12,Reference,188,79.55,mega_market,True
The Royal Ghosts: Stories,"“Startlingly good” stories of Nepali society set against the backdrop of violent Maoist insurgencies (San Francisco Chronicle). From an author like “a Buddhist Chekhov,” The Royal Ghosts features characters trying to reconcile their true desires with the forces at work in Nepali society (San Francisco Chronicle). As political violence rages, these people struggle with their duties to their aging parents, an oppressive caste system, and the complexities of arranged marriage, striving to find peace and connection, and often discovering it in unexpected places. These stories, from the Whiting Award–winning author of Arresting God in Kathmandu and The Guru of Love, brilliantly examine not only Kathmandu during a time of upheaval, crisis, and cultural transformation but also the effects of the city on the individual consciousness. “Like William Trevor, Samrat Upadhyay compresses into a short story the breadth of vision and human consequence we expect from a novel, and he does so in a prose that seems as natural as breathing.” —Scott Russell Sanders, author of A Private History of Awe “Takes us straight into the heart of the troubled and enchanting kingdom of Nepal.” —The Washington Post “Upadhyay’s not-so-simple stories are lucid and often luminous.” —Publishers Weekly",Samrat Upadhyay,2006-02-09,Fiction,289,102.13,mega_market,False
Secrets in the Hills: A Josefina Mystery (American Girl Mysteries),"In 1826, strange occurrences on eleven-year-old Josefina's New Mexican ""rancho"" lead the young healer to wonder if old legends of lost treasure and the wandering ghost called La Llorona may be true. Includes a Spanish glossary and historical background information.",Kathleen Ernst,2006,Juvenile Fiction,435,120.46,mega_market,True
"Atlantis, The Lost Continent Finally Found","The late author Arysio Santos was a highly regarded climatologist, geologist, and nuclear physicist. He was also a scholar of history, folklore, languages, and the occult. In this groundbreaking study of Atlantis, he draws on all these disciplines, as well as ancient maps, Plato’s dialogues, and folkloric narratives, to provide the most compelling case yet of the disappearance of an entire civilization. Professor Santos demonstrates that Plato’s dating of Atlantis’s disappearance in 11,600 BP (before present) precisely corresponds to the catastrophic end of the Pleistocene Ice Age, as well as a historic flood event of cataclysmic proportions. The rising of the sea level by nearly 500 feet, he argues, submerged continent-sized lands—including Atlantis, which he connects with the biblical Garden of Eden. Provocative chapters cover such topics as the continent’s appearance in ancient maps, Indonesia as the true site of Eden, American interpretations of Atlantis, the four rivers of paradise, and more, giving a clear form to the ghostly outline of this fabled land.",Arysio Santos,2011-03-01,"Body, Mind & Spirit",154,52.84,mega_market,True
Collected Poems 1917 to 1982,"Poems deal with space, birth, aging, death, writers, poetry, history, and travel",Archibald MacLeish,1985,Poetry,170,69.44,mega_market,True
A History of Inequality in South Africa 1652-2002,"This work is an anlaysis of economic relations in South Africa. It analyses the work of numerous historians on inequality and exploitation in South Africa around a single theme: the systematic and progressive economic exploitation of indigenous people by settler groups. Second, the author argues that, despite South Africa's transition to democracy, its society is as unequal - if not more so - than before.","Sampie Terreblanche, Karl Von Holdt, Solomon Johannes Terreblanche",2002,History,132,87.92,mega_market,True
1937: Stalin's Year of Terror,"This is the first major study by a Russian Marxist historian of the most tragic and fateful year in the history of the Soviet Union. With an encyclopedic knowledge of Soviet source material, including archival documents released after the fall of the USSR, Vadim Rogovin presents a detailed and penetrating analysis of the causes, impact and consequences of Stalin's purges. He demonstrates that the principal function of the terror was the physical annihilation of the substantial socialist opposition to Stalin's bureaucratic regime.",Vadim Zakharovich Rogovin,1998,History,172,20.45,mega_market,True
"Russia, a Short History.","Distinguished Professor Abraham Ascher offers an impressive blend of engaging narrative and fresh analysis in this perennially popular introduction to Russia. Newly updated on the 100th anniversary of the Bolshevik Revolution, Russia: A Short History begins with the origins of the first Slavic state, and continues to the present-day tensions between Russia and its neighbours, the rise of Vladimir Putin, and the increasingly complex relationship with the United States.",Abraham Ascher,2017-09-07,History,222,37.67,mega_market,True
The Sword of Shannara/The Elfstones of Shannara/The Wishsong of Shannara,"Horror stalks the Four Lands. The Ildatch, immemorial book of evil spells, has stirred to eldritch life, sending its foul Mord wraiths to accomplish at last mankind's destruction. Only Jair and Brin can attempt to halt the resulting evil",Terry Brooks,2015,Elves,304,61.7,mega_market,False
Devil's Bargains: Tourism in the Twentieth-Century American West,"Traces the history of tourism in the region from the late nineteenth century to the present while exploring the social, economic, and psychological forces impacting popular travel destinations","Hal Rothman, Chair and Professor of History Hal K Rothman",1998,Business & Economics,273,47.4,mega_market,True
"Turn Me On, Dead Man: The Beatles and the ""Paul Is Dead"" Hoax","Free to Vote Able to Vote Ready to Vote Anthony English, born in Canada, became a naturalized citizen of the United States of America on November 22nd, 1963, having been sworn in at the Los Angeles County Courthouse at almost the precise time that President John F. Kennedy was assassinated. This terrible and cataclysmic event was to influence forever his interest in his new country and his passion as a new citizen. This pivotal event drove his interest in his new country resulting in his consistently voting in every election since being sworn in as a citizen. While he voted, he was astonished that so few of the qualified voters bothered to go to the polls, and so many incompetents have been elected. As a result he has published this book in an effort to encourage everyone to exercise their earned privilege and their right as a US citizen to cast a ballot for our governing officials. You can make a difference is his theme.",Andru J. Reeve,2004,Biography & Autobiography,183,75.22,mega_market,False
JavaScript Sourcebook: Create Interactive JavaScript Programs for the World Wide Web,"A complete tutorial and reference details the JavaScript language while focusing on its most enhanced functions, and the accompanying CR-ROM provides a library of ready-to-use applications and routines. Original. (Intermediate).",Gordon McComb,1996-08-03,Computers,248,101.1,mega_market,True
Creating Writers Through 6-Trait Writing Assessment and Instruction (4th Edition),"""Creating Writers,"" Fourth Edition, is the most comprehensive exploration of the 6-trait approach to writing yet! Written by the pioneer of 6-trait writing, this Fourth Edition brings everything up to date, offering a comprehensive overview of the best education strategies and philosophies from the worlds of writing assessment and instruction. It provides clear guidelines on helping students draft, assess, and revise their writing, as well as explicit criteria to show students precisely what they must do to succeed as writers in virtually any situation. Widely used at the state level, school districts are incorporating the 6 traits into their state standards or assessments. This is the only book on the market that effectively helps teachers of writing prepare their students for success on state tests. "" New format and organization is designed to make the content clear and simple. New and revised checklists for genre-specific writing instruction to separate key elements in narrative writing, literary analysis, and persuasive writing. New and creative ways to use 6-trait writing in classrooms are explored - including adaptations for kinesthetic learners and second language learners. Ringing Endorsements for ""CREATING WRITERS""! """"Not only is Creating Writers the most comprehensive book ever on 6-trait writing instruction and assessment, it's also a practical, inspirational guide for any writing classroom. It's one of those rare professional books that both teachers and administrators read cover to cover, and you'll find the well-worn copies on their desks to prove it. This extensively revised edition, with voluminous examples from students and literature, draws the strongest link yet between writing assessment and instruction. No writing classroom should be without it."""" -Barry Lane Author of ""After THE END: Teaching and Learning Creative Revision, The Reviser's Toolbox, and The Portfolio Sourcebook."" """"Spandel has done it again! In Creating Writers, Fourth Edition, she shares her current thought and unparalleled skill, framed around the traits of writing. The originator once again inspires us with practical, enriched instruction and assessment applications-promising practices for teaching and learning at its zenith. On behalf of classroom teachers everywhere -Thank you, Vicki!"""" -Dr. Donna Flood Director of Staff Development and Instructional Improvement, Millard Public Schools, Omaha, NE """"If you're only going to read one book about teaching writing this year, make it Creating Writers. It's lively and fast-paced, filled cover to cover with practical help on using the six traits to enrich writing instruction and assessment, from one-on-one writing conferences to building craft lessons. This book gives you and your students a shared language with which to talk about writing. No writing teacher in America has done more than Vicki Spandel to show how to actually make writing workshops work. Whether you're a new teacher or a veteran, you'll find both inspiration and how-to-do-it strategies in Creating Writers. As an added bonus, you will find that the strategies detailed in this book prepare students for success on state writing assessments as well as for their journey as life-long writers."""" -Dr. Tommy Thomason, Head of Journalism Texas Christian University, Ft. Worth, Texas For more information on this book and related books, visit www.abprofessionaled.com.",Vicki Spandel,2005,Education,257,85.56,mega_market,True
Taming Tessa,Book description to come.,Brenda Hiatt,2009-03-17,Fiction,299,118.39,mega_market,True
Rainbow's End: A Magical Story and Moneybox,"In this combination picture storybook and coin bank, the unusual front cover shows an illustration from the story that's embellished with five transparent plastic windows. Opening the book, children will find a story about a poor little ballerina who is crying because her dancing shoes are worn and she has no money to replace them. Full color. Consumable.","Keith Faulkner, Beverlie Manson",2003,Juvenile Fiction,230,97.69,mega_market,False
The Wife : A Novel,"""This year's Gone Girl.""—Harlan Coben A Boston Globe Best Book of 2018 | A Sun-Sentinel Best Mystery Book of 2018 | A Crime Reads Best Novel of 2018 His Scandal Her Secret From New York Times bestselling author Alafair Burke, a stunning domestic thriller in the vein of Behind Closed Doors and The Woman in Cabin 10—in which a woman must make the impossible choice between defending her husband and saving herself. When Angela met Jason Powell while catering a dinner party in East Hampton, she assumed their romance would be a short-lived fling, like so many relationships between locals and summer visitors. To her surprise, Jason, a brilliant economics professor at NYU, had other plans, and they married the following summer. For Angela, the marriage turned out to be a chance to reboot her life. She and her son were finally able to move out of her mother’s home to Manhattan, where no one knew about her tragic past. Six years later, thanks to a bestselling book and a growing media career, Jason has become a cultural lightning rod, placing Angela near the spotlight she worked so carefully to avoid. When a college intern makes an accusation against Jason, and another woman, Kerry Lynch, comes forward with an even more troubling allegation, their perfect life begins to unravel. Jason insists he is innocent, and Angela believes him. But when Kerry disappears, Angela is forced to take a closer look—at both the man she married and the women she chose not to believe. This much-anticipated follow-up to Burke’s Edgar-nominated The Ex asks how far a wife will go to protect the man she loves: Will she stand by his side, even if he drags her down with him?",Alafair Burke,2018-01-23,Fiction,135,50.87,mega_market,True
"Evelina, or, A young lady's entrance into the world","Written in the form of letters, this 1778 novel chronicles a young woman's transition from provincial life into the smart sets of London and a resort community near Bristol. A witty satire of 18th-century society, the story marks a significant precursor to the works of Jane Austen and Maria Edgeworth.",Fanny Burney,2015-10-21,Fiction,175,26.8,mega_market,True
Huger Foote: My Friend from Memphis,"My Friend from Memphis presents approximately 100 color photographs by Huger Foote. This collection from Foote's latest body of work is remarkably original showing images shot in Memphis, Africa, London & Paris.",Huger Foote,2000-10,Photography,168,99.56,mega_market,True
Give Them Wings and Let Them Fly: Surviving the Loss of a Child,"The loss of a child is heart-rending for any parent but there is a pathway through the pain. Having had several late-term miscarriages, Author Kymberli Brady speaks healing to women recovering from such loss. With the closeness and understanding of a loving friend who has been there, Kymberli offers perspective. At a time when the world seems only dark, her prose and verse remind women that there is hope beyond the pain and the promise of a brighter tomorrow.",Kymberli Brady,2000,Religion,80,39.67,mega_market,True
The Fruits of Medjugorje: Stories of True and Lasting Conversion (Christian Classics),"Just in time for the 25th anniversary of the first apparition of the Virgin Mary in the village of Medjugorje (on June 25th), this volume provides readers with a collection of compelling firsthand accounts of visits to the site and how Medjugorje genuinely and permanently transformed people's lives.",Elizabeth Ficocelli,2006,Religion,148,54.61,mega_market,True
Two years before the mast: A personal narrative,"This book is a fascinating and detailed chronicle of over two years spent in the American merchant service during the early 1800s. Written as a journal, it depicts the adventures and vicissitudes of a young sailor travelling from Boston around Cape Horn and on to the west coast of North America. Brought to life with a vividness that belies its age, “Two Years Before the Mast” is highly recommended for lovers of adventure writing and those with an interest in nautical history. Many vintage books such as this are becoming increasingly scarce and expensive. It is with this in mind that we are republishing this volume now in an affordable, high-quality edition complete with a specially commissioned new biography of the author.",R. H. Dana,2016-03-09,Sports & Recreation,879,121.33,mega_market,True
